Date,Open,High,Low,Close
2018-03-27,87.96,88.04,85.48,86.05
2018-03-26,86.22,87.69,86.11,87.5
2018-03-23,87.35,87.74,85.28,85.42
2018-03-22,87.53,88.27,86.99,87.14
2018-03-21,87.89,89.68,87.68,88.18
2018-03-20,87.86,88.147,87.37,87.95
2018-03-19,88.91,89.075,87.1,87.45
2018-03-16,87.72,90.09,87.5,89.17
2018-03-15,87.68,88.79,85.90299999999999,87.51
2018-03-14,88.51,88.99,87.5,87.67
2018-03-13,88.39,88.9,87.9801,88.3
2018-03-12,88.7,89.44,87.88,88.07
2018-03-09,88.24,88.72,87.53,88.72
2018-03-08,87.77,88.1301,87.34,87.92
2018-03-07,87.98,88.53,87.335,87.74
2018-03-06,90.35,90.5,88.63,89.06
2018-03-05,88.14,90.5,88.0714,89.98
2018-03-02,87.27,88.9,87.24,88.77
2018-03-01,90.17,90.18,87.7101,89.08
2018-02-28,92.0,92.1,90.0,90.01
2018-02-27,93.63,93.72,91.51,91.52
2018-02-26,92.9,93.8,92.22,93.12
2018-02-23,92.88,93.49,91.76,92.89
2018-02-22,91.43,93.39,91.31,92.77
2018-02-21,95.11,95.34,91.2401,91.52
2018-02-20,96.99,97.94,94.1,94.11
2018-02-16,103.09,104.94,101.9818,104.78
2018-02-15,102.55,103.64,101.83,103.23
2018-02-14,100.86,102.25,100.21,101.7
2018-02-13,99.33,101.22,99.33,100.98
2018-02-12,100.13,100.445,98.8,99.55
2018-02-09,100.53,101.1,96.43,99.37
2018-02-08,103.23,103.48,100.0,100.02
2018-02-07,100.5,104.59,100.01,102.85
2018-02-06,97.64,101.08,97.25,100.9
2018-02-05,103.4,104.61,97.09,100.09
2018-02-02,105.15,106.47,104.15,104.48
2018-02-01,105.96,106.56,105.18,105.52
2018-01-31,107.77,108.18,106.07,106.6
2018-01-30,109.14,109.3648,107.15100000000001,107.73
2018-01-29,108.11,109.98,107.99,109.55
2018-01-26,107.0,108.41,106.68,108.39
